# #MJD, AbsGain, AbsGainErr
5.478662881944444234e+04, 6.016189679999997431e+00, 6.214913089628181647e-02
5.479062957175925840e+04, 5.486914220000001841e+00, 3.009177438373160374e-02
5.479162942129629664e+04, 5.414186040000002365e+00, 2.891072065650011902e-02
5.479262998842592788e+04, 5.962727340000003373e+00, 4.018412385154403188e-02
5.479362958333333518e+04, 5.940470519999999865e+00, 3.921449495023538595e-02
5.479462950231481227e+04, 6.457082779999998579e+00, 4.844147053453844859e-02
5.480062835648148030e+04, 5.495099580000001538e+00, 3.096772573627121911e-02
5.480262929398148117e+04, 6.059820792000003564e+00, 4.292429302795527923e-02
5.480362975694444322e+04, 6.101645720000000495e+00, 4.314451650721012194e-02
5.480463188657407591e+04, 5.642705559999997789e+00, 3.226896171439897626e-02
5.480562966435185081e+04, 5.885903709999999123e+00, 3.834597295648072002e-02
5.481862945601851970e+04, 6.818831407999997651e+00, 5.921766455311644473e-02
5.482262931712962745e+04, 6.696194020000005409e+00, 5.599923686419715219e-02
5.482562923611111182e+04, 6.860031079999994397e+00, 6.236134101215461134e-02
5.483862932870370423e+04, 6.168386959999996755e+00, 4.466032128537734958e-02
5.483962931712962745e+04, 7.566161380000001380e+00, 7.559683825640148291e-02
5.484462943287037342e+04, 8.484807274000001343e+00, 9.137413254257212292e-02
5.484662924768518860e+04, 7.069236903999995825e+00, 6.404043801421925586e-02
5.484762950231481227e+04, 6.082836879999994117e+00, 4.207594956381519730e-02
5.484862954861111211e+04, 5.804671920000001428e+00, 3.597581544817810006e-02
5.484963218749999942e+04, 6.160888340000000518e+00, 2.423288795077023494e-02
5.485162950231481227e+04, 6.418571115999998078e+00, 4.177977299249929083e-02
5.485662924768518860e+04, 5.784263179999996396e+00, 3.568028617900212418e-02
5.485762954861111211e+04, 6.115087220000003043e+00, 3.933322420702209388e-02
5.486840854166666395e+04, 1.216312306000000953e+00, 7.735296378651761867e-03
5.486862923611111182e+04, 5.044682620000000561e+00, 2.256408559646706780e-02
5.487562944444444292e+04, 5.020279226000000428e+00, 2.311082457804659526e-02
5.487662895833333459e+04, 5.403638832000003056e+00, 3.927364373512975959e-02
5.487962945601851970e+04, 5.086642639999999993e+00, 2.397887041157420115e-02
5.488162876157407300e+04, 5.025277514000003443e+00, 2.408243994086845668e-02
5.488262855324074189e+04, 4.961330800000000707e+00, 2.268197981827088650e-02
5.488362916666666570e+04, 4.983623220000000131e+00, 2.294599771423596127e-02
5.488462910879629635e+04, 5.018126039999997623e+00, 2.333756484881978344e-02
5.488662938657407358e+04, 5.021796829999999545e+00, 2.334520355637223488e-02
5.488862923611111182e+04, 5.166239599999999932e+00, 2.853814119122575002e-02
5.489162920138888876e+04, 4.968117531999995506e+00, 2.299694355515845626e-02
5.489262927083333489e+04, 4.953542788000006247e+00, 2.297839933571577814e-02
5.489362900462962716e+04, 4.970022309999998278e+00, 3.053889470473869494e-02
5.490865515046296059e+04, 5.462077060000001261e+00, 3.478492970781081606e-02
5.490558781250000175e+04, 2.159675617999998565e+01, 4.074462832591614347e-01
5.490658798611110979e+04, 6.806609694000000488e+00, 6.350068980754668135e-02
5.490858774305555562e+04, 5.015088227999994430e+00, 2.375778883809945285e-02
5.490959310185185313e+04, 4.958301680000003486e+00, 2.299572461107445356e-02
5.491058755787037080e+04, 5.163912340000001322e+00, 2.520087747181560395e-02
5.491158750000000146e+04, 5.803763404000002346e+00, 5.253056498425764248e-02
5.491258760416666337e+04, 5.052506356000002974e+00, 2.374661116814227521e-02
5.491358765046296321e+04, 5.050699157999995137e+00, 2.443989508716589917e-02
5.492370429398147826e+04, 5.002340420000001231e+00, 2.296385991890398034e-02
5.491558751157407096e+04, 4.949781453999999137e+00, 2.270777119466511201e-02
5.491658756944444758e+04, 4.940175893999998458e+00, 2.265151551141143804e-02
5.491758766203703999e+04, 5.015555954000001648e+00, 2.357584904225643041e-02
5.491858743055555533e+04, 4.981067604000001481e+00, 2.354404949215765236e-02
5.492058760416666337e+04, 5.092723015999995440e+00, 2.489163903236227271e-02
5.492158760416666337e+04, 4.938485604000006468e+00, 2.226280733854827526e-02
5.492258754629629402e+04, 4.969183720000001081e+00, 2.255167843755436635e-02
5.492358751157407096e+04, 4.942283770000006626e+00, 2.250696429188862174e-02
5.492558756944444758e+04, 4.956984240000007702e+00, 2.268781488730414742e-02
5.492658748842592468e+04, 5.223355240000000066e+00, 2.695446046360168435e-02
5.493458753472222452e+04, 5.014758516000002331e+00, 2.366975157764017804e-02
5.493558759259259386e+04, 4.990460261999996483e+00, 2.287975522325981850e-02
5.493658802083333285e+04, 5.104075360000003059e+00, 2.337922951649747116e-02
5.493758766203703999e+04, 4.989264739999996756e+00, 2.236117865057740337e-02
5.493858774305555562e+04, 4.982981200000001110e+00, 2.226436026839429330e-02
5.494158748842592468e+04, 4.888254880000002522e+00, 2.143867121572586715e-02
5.494258784722222481e+04, 5.053679847999997143e+00, 2.310300036321181680e-02
5.494358774305555562e+04, 4.973452277999999005e+00, 2.267607710882337674e-02
5.494458746527777839e+04, 4.947887377999994563e+00, 2.185262916450328441e-02
5.494558748842592468e+04, 5.050053219999999676e+00, 2.309820459483968857e-02
