#  FERMI ALL-SKY VARIABILITY ANALYSIS (FAVA) 
#  Ackermann et al (The Astrophysical Journal, 771:57 (12pp), 2013 July 1)
# Fava ID , RA (J2000.0) , Dec (J2000.0) , # HE Flares , # Neg. Flares , LAT Assoc. , Assoc. , Atel # ,
* V 14
J1517-31 , 15 17 02.2 , -31 37 47.9 , 0 , 0 , 2FGL_J1513.6-3233 , PKS_1510-324 , 0 ,
J1522+31 , 15 22 59.8 , +31 37 12.0 , 7 , 1 , 2FGL_J1522.1+3144 , B2_1520+31 , 0 ,
J1533-13 , 15 33 28.7 , -13 23 24.0 , 9 , 0 , Fermi_J1532-1319 , TXS_1530-131 , 3579 ,
J1554+13 , 15 54 14.3 , +13 16 11.9 , 2 , 0 , 2FGL_J1553.5+1255 , PKS_1551+130 , 0 ,
J1626-25 , 16 26 19.1 , -25 43 48.0 , 4 , 0 , 2FGL_J1625.7-2526 , PKS_1622-253 , 0 ,
J1636+38 , 16 36 38.2 , +38 16 48.0 , 6 , 6 , 2FGL_J1635.2+3810 , 4C_+38.41 , 0 ,
J1641+47 , 16 41 09.5 , +47 33 36.0 , 1 , 0 , 2FGL_J1637.7+4714 , 4C_+47.44 , 0 ,
J1641+41 , 16 41 57.6 , +40 59 59.8 , 1 , 1 , 2FGL_J1642.9+3949 , 3C_345 , 0 ,
J1656+48 , 16 56 43.2 , +48 20 24.0 , 1 , 0 , 2FGL_J1657.9+4809 , 4C_+48.41 , 0 ,
J1704-62 , 17 04 52.6 , -62 22 48.0 , 0 , 0 , 2FGL_J1703.2-6217 , CGRaBS_J1703-6212 , 0 ,
J1700+68 , 17 00 26.2 , +68 34 47.8 , 3 , 0 , 2FGL_J1700.2+6831 , TXS_1700+685 , 0 ,
J1710+43 , 17 10 47.9 , +43 22 48.0 , 10 , 0 , 2FGL_J1709.7+4319 , B3_1708+433 , 0 ,
J1707+77 , 17 07 38.4 , +77 10 12.0 , 0 , 0 , none , none , 0 ,
J1715-33 , 17 15 31.0 , -33 42 00.0 , 2 , 0 , 2FGL_J1717.7-3342 , TXS_1714-336 , 0 ,
J1718-52 , 17 18 47.8 , -52 21 00.0 , 2 , 0 , Fermi_J1717-5156 , PMN_J1717-5155 , 4023 ,
